Vc   ,Fz,Ax,Ra,Rt,,,,,,,
7.5,0.05,0.75,0.566666667,4.35,,,,,,,
7.5,0.075,1,0.866666667,3.95,,,,,,,
7.5,0.1,1.25,1.071666667,5.821666667,,,,,,,
7.5,0.125,1.5,1.088333333,5.468333333,,,,Vc   ,Fz,Ax,Ra
7.5,0.05,1,0.618333333,4.955,,,,7.5,0.05,0.75,0.566666667
7.5,0.075,1.25,0.91,6.941666667,,,,7.5,0.075,1,0.866666667
7.5,0.1,1.5,1.075,7.535,,,,7.5,0.1,1.25,1.071666667
7.5,0.15,0.75,0.97,6.84,,,,7.5,0.125,1.5,1.088333333
7.5,0.05,1.25,0.391666667,3.595,,,,Vc   ,Fz,Ax,Ra
7.5,0.075,1.5,0.1,0.7,,,,10,0.05,0.75,0.335
7.5,0.125,0.75,0.871666667,6.815,,,,10,0.075,1,0.546666667
7.5,0.15,1,0.813333333,7.633333333,,,,10,0.1,1.25,0.67
7.5,0.05,1.5,1.018333333,6.038333333,,,,10,0.125,1.5,0.735
7.5,0.1,0.75,0.643333333,6.388333333,,,,Vc   ,Fz,Ax,Ra
7.5,0.125,1,0.808333333,9.14,,,,12.5,0.05,0.75,0.606666667
7.5,0.15,1.25,0.745,7.911666667,,,,12.5,0.075,1,1.37
7.5,0.075,0.75,0.636666667,5.056666667,,,,12.5,0.1,1.25,1.595
7.5,0.1,1,0.776666667,6.301666667,,,,12.5,0.125,1.5,1.383333333
7.5,0.125,1.25,0.818333333,6.968333333,,,,Vc   ,Fz,Ax,Ra
7.5,0.15,1.5,0.75,6.385,,,,15,0.05,0.75,0.688333333
10,0.05,0.75,0.335,3.011666667,,,,15,0.075,1,0.726666667
10,0.075,1,0.546666667,3.46,,,,15,0.1,1.25,0.961666667
10,0.1,1.25,0.67,3.896666667,,,,15,0.125,1.5,1.121666667
10,0.125,1.5,0.735,3.748333333,,,,Vc   ,Fz,Ax,Ra
10,0.05,1,0.293333333,2.578333333,,,,17.5,0.05,0.75,0.49
10,0.075,1.25,0.418333333,3.751666667,,,,17.5,0.075,1,0.61
10,0.1,1.5,0.465,3.766666667,,,,17.5,0.1,1.25,0.468333333
10,0.15,0.75,0.415,3.833333333,,,,17.5,0.125,1.5,0.438333333
10,0.05,1.25,0.27,3.671666667,,,,,,,
10,0.075,1.5,0.318333333,4.613333333,,,,,,,
10,0.125,0.75,0.383333333,4.258333333,,,,,,,
10,0.15,1,0.473333333,5.078333333,,,,,,,
10,0.05,1.5,0.295,4.366666667,,,,,,,
10,0.1,0.75,0.315,3.635,,,,,,,
10,0.125,1,0.538333333,5.968333333,,,,,,,
10,0.15,1.25,0.641666667,6.818333333,,,,,,,
10,0.075,0.75,0.291666667,3.9,,,,,,,
10,0.1,1,0.546666667,6.25,,,,,,,
10,0.125,1.25,0.673333333,6.528333333,,,,,,,
