Vc,Fz,ap,Ra
7.5,0.05,0.75,0.566666667
7.5,0.075,1.0,0.866666667
7.5,0.1,1.25,1.071666667
7.5,0.125,1.5,1.088333333
7.5,0.05,1.0,0.618333333
7.5,0.075,1.25,0.91
7.5,0.1,1.5,1.075
7.5,0.15,0.75,0.97
7.5,0.05,1.25,0.391666667
7.5,0.075,1.5,0.1
7.5,0.125,0.75,0.871666667
7.5,0.15,1.0,0.813333333
7.5,0.05,1.5,1.018333333
7.5,0.1,0.75,0.643333333
7.5,0.125,1.0,0.808333333
7.5,0.15,1.25,0.745
7.5,0.075,0.75,0.636666667
7.5,0.1,1.0,0.776666667
7.5,0.125,1.25,0.818333333
7.5,0.15,1.5,0.75
10.0,0.05,0.75,0.335
10.0,0.075,1.0,0.546666667
10.0,0.1,1.25,0.67
10.0,0.125,1.5,0.735
10.0,0.05,1.0,0.293333333
10.0,0.075,1.25,0.418333333
10.0,0.1,1.5,0.465
10.0,0.15,0.75,0.415
10.0,0.05,1.25,0.27
10.0,0.075,1.5,0.318333333
10.0,0.125,0.75,0.383333333
10.0,0.15,1.0,0.473333333
10.0,0.05,1.5,0.295
10.0,0.1,0.75,0.315
10.0,0.125,1.0,0.538333333
10.0,0.15,1.25,0.641666667
10.0,0.075,0.75,0.291666667
10.0,0.1,1.0,0.546666667
10.0,0.125,1.25,0.673333333
10.0,0.15,1.5,0.726666667
12.5,0.05,0.75,0.606666667
12.5,0.075,1.0,1.37
12.5,0.1,1.25,1.595
12.5,0.125,1.5,1.383333333
12.5,0.05,1.0,0.861666667
12.5,0.075,1.25,1.228333333
12.5,0.1,1.5,0.996666667
12.5,0.15,0.75,1.285
12.5,0.05,1.25,0.791666667
12.5,0.075,1.5,0.861666667
12.5,0.125,0.75,1.601666667
12.5,0.15,1.0,1.745
12.5,0.05,1.5,1.003333333
12.5,0.1,0.75,1.158333333
12.5,0.125,1.0,1.645
12.5,0.15,1.25,1.621666667
12.5,0.075,0.75,1.165
12.5,0.1,1.0,1.525
12.5,0.125,1.25,1.363333333
12.5,0.15,1.5,1.376666667
15.0,0.05,0.75,0.688333333
15.0,0.075,1.0,0.726666667
15.0,0.1,1.25,0.961666667
15.0,0.125,1.5,1.121666667
15.0,0.05,1.0,0.565
15.0,0.075,1.25,0.78
15.0,0.1,1.5,1.003333333
15.0,0.15,0.75,0.776666667
15.0,0.05,1.25,0.678333333
15.0,0.075,1.5,0.708333333
15.0,0.125,0.75,1.59
15.0,0.15,1.0,1.531666667
15.0,0.05,1.5,1.888333333
15.0,0.1,0.75,1.356666667
15.0,0.125,1.0,1.116666667
15.0,0.15,1.25,1.123333333
15.0,0.075,0.75,1.105
15.0,0.1,1.0,1.108333333
15.0,0.125,1.25,1.0
15.0,0.15,1.5,1.168333333
17.5,0.05,0.75,0.49
17.5,0.075,1.0,0.61
17.5,0.1,1.25,0.468333333
17.5,0.125,1.5,0.438333333
17.5,0.05,1.0,0.523333333
17.5,0.075,1.25,0.406666667
17.5,0.1,1.5,0.391666667
17.5,0.15,0.75,0.801666667
17.5,0.05,1.25,0.253333333
17.5,0.075,1.5,0.485
17.5,0.125,0.75,1.421666667
17.5,0.15,1.0,1.415
17.5,0.05,1.5,0.976666667
17.5,0.1,0.75,1.273333333
17.5,0.125,1.0,1.101666667
17.5,0.15,1.25,1.241666667
17.5,0.075,0.75,0.99
17.5,0.1,1.0,0.966666667
17.5,0.125,1.25,1.175
17.5,0.15,1.5,1.013333333
7.5,0.05,0.75,1.308333333
7.5,0.075,1.0,0.303333333
7.5,0.1,1.25,0.101666667
7.5,0.125,1.5,0.285
7.5,0.05,1.0,0.411666667
7.5,0.075,1.25,0.221666667
7.5,0.1,1.5,0.353333333
7.5,0.15,0.75,0.676666667
7.5,0.05,1.25,0.378333333
7.5,0.075,1.5,0.401666667
7.5,0.125,0.75,0.921666667
7.5,0.15,1.0,1.098333333
7.5,0.05,1.5,0.271666667
7.5,0.1,0.75,0.733333333
7.5,0.125,1.0,0.846666667
7.5,0.15,1.25,0.708333333
7.5,0.075,0.75,0.61
7.5,0.1,1.0,0.7
7.5,0.125,1.25,0.566666667
