,SVR,GPR,RandomForest,GradientBoosting
Fz,0.045024067214918514,0.06654330907977878,0.001285510850758073,0.0004002999120399194
Fz2,0.10212835726827739,0.09311652559434297,0.0018301731573576007,0.0006708006978860011
Fz_ap,0.030128822327560752,0.052059918619633216,0.014753069787440955,0.01715461297330408
Fz_ap_ratio,0.08769951643336035,0.09207504807221349,0.19807658713783413,0.20151539449850417
Vc,0.06963355957073396,0.07076984269404056,0.20331402534707557,0.3103335664905458
Vc2,0.15874245693479122,0.12424515137756167,0.2818539180198683,0.19890402411863506
Vc_Fz,0.07715052501984573,0.08285497876628763,0.08817891738849763,0.024689814711995165
Vc_Fz_ratio,0.14893353471529233,0.12652611476220652,0.12705775973525676,0.1468192811288862
Vc_ap,0.08042044699763497,0.07236878683867055,0.05031107858559663,0.05320960979373837
Vc_ap_ratio,0.10068488615758966,0.10045102686826941,0.029281082973373434,0.04524892469964619
ap,0.029269811682873972,0.046161792093794285,0.0023226338264882183,0.0006734074010664434
ap2,0.0701840156771213,0.07282750523320086,0.0017352431904526457,0.00038026357375276675
